Used 2024 Ford, Escape Active AWD, $27,995, Fair Price, 10,911 miles, 
Used 2024 Ford, Mustang Mach-E Premium AWD, $39,000, High Price, 4,497 miles, 
Used 2024 Ford, Mustang GT Fastback, $41,745, Fair Price, 6,976 miles, 
Used 2024 Ford, Maverick XL SuperCrew FWD, $25,499, Fair Price, 34,753 miles, 
Used 2024 Ford, Edge SEL, $24,995, Fair Price, 18,614 miles, 
Used 2024 Ford, F-150 King Ranch SuperCrew 5.5' Box 4WD, $65,500, High Price, 23,105 miles, 
Used 2024 Ford, Bronco Wildtrak 4 Door Advanced 4WD, $67,940, High Price, 5 miles, 
Used 2024 Ford, Expedition Limited 4WD, $62,204, Fair Price, 21,930 miles, 
Used 2024 Ford, Escape Plug-In Hybrid FWD, $31,500, Great Price, 241 miles, 
Used 2024 Ford, Super Duty F-350 XL Crew Cab 6.75' Box SRW 4WD, $58,995, High Price, 19,808 miles, 
Used 2024 Ford, Mustang GT Premium Fastback, $49,396, High Price, 6,293 miles, 
Used 2024 Ford, F-150 XL Regular Cab 8' Box 2WD, $40,000, High Price, 11,224 miles, 
Used 2024 Ford, Super Duty F-250 LARIAT Crew Cab 6.75' Box 4WD, $74,500, Fair Price, 29,780 miles, 
Used 2024 Ford, Mustang EcoBoost Fastback, $31,180, High Price, 24,014 miles, 
Used 2024 Ford, Explorer Limited RWD, $33,888, High Price, 40,115 miles, 
Used 2024 Ford, Bronco Wildtrak 4 Door Advanced 4WD, $59,346, High Price, 14,973 miles, 
Used 2024 Ford, Explorer Limited RWD, $39,995, High Price, 32,225 miles, 
Used 2024 Ford, Bronco Raptor 4 Door Advanced 4WD, $76,991, Fair Price, 4,330 miles, 
Used 2024 Ford, Mustang EcoBoost Fastback, $28,990, Fair Price, 21,083 miles, 
Used 2024 Ford, Super Duty F-250 LARIAT Crew Cab 6.75' Box 4WD, $81,995, High Price, 23,701 miles, 
Used 2024 Ford, Bronco Sport Big Bend, $28,495, Great Price, 9,321 miles, 
Used 2024 Ford, Explorer Limited RWD, $33,901, Fair Price, 44,174 miles, 
